"CLIENT_CODE","FILE_NBR","FRASE_HOSP_NAME","SUBMISSION_NUMBER","FRASE_ADDR1","FRASE_ADDR2","FRASE_ADDR3","FRASE_CITY","FRASE_COUNTY","FRASE_COUNTY_DESC","FRASE_STATE","FRASE_ZIP","FRASE_EMAIL_ADDR","A1_1A","A1_1B","A1_1C","A1_1D","A1_1E","A1_1F","A1_1G","A1_1H","A1_1I","A1_1J","A1_1K","A1_1L","A1_1M","A1_1N","A1_1O"
"23",100002,"BETHESDA HOSPITAL EAST","00100002100120180930201902262020023058","2815 S SEACREST BLVD",,,"BOYNTON BEACH","50","PALM BEACH","FL","33435","JoanneAq@baptisthealth.net",,"100002","101401","BETHESDA HOSPITAL","2815 S SEACREST BLVD","BOYNTON BEACH","PALM BEACH","33435","JOANNE I. AQUILINA","2815 S SEACREST BLVD BOYNTON BEACH, FL 33435","JOANNE I. AQUILINA","CHIEF FINANCIAL OFFICER","5617377733","5613692247","compass@hfgflorida.com"
"23",23960064,"WEST KENDALL BAPTIST HOSPITAL","23960064100120180930201902272020085933","9555 SW 162ND AVE",,,"MIAMI","13","MIAMI-DADE","FL","33196-6408","javierh@baptisthealth.net",,"100314","3226500","WEST KENDALL BAPTIST HOSPITAL","9555 SW 162ND AVENUE","MIAMI","MIAMI-DADE","33196","MATTHEW ARSENAULT","9555 SW 162ND AVENUE MIAMI, FL 33196","ODALYS REMIGIO","AVP, FINANCE","7864672000","7866627205","compass@hfgflorida.com"
"23",100024,"FISHERMEN'S COMMUNITY HOSPITAL","00100024100120180930201902252020090754","3301 OVERSEAS HWY",,,"MARATHON","44","MONROE","FL","33050","lori.russo@fhcares.com",,"101312","10120600","FISHERMEN'S COMMUNITY HOSPITAL","3301 OVERSEAS HIGHWAY","MARATHON","MONROE","33050","MATTHEW ARSENAULT","3301 OVERSEAS HIGHWAY MARATHON, FL 33050","PATRICIA BOYLAN","AVP, FINANCE","3054343590","3054341583","compass@hfgflorida.com"
"23",100125,"HOMESTEAD HOSPITAL","00100125100120180930201902262020104617","975 BAPTIST WAY",,,"HOMESTEAD","13","MIAMI-DADE","FL","33033",,,"10-0125","10226100","HOMESTEAD HOSPITAL","975 BAPTIST WAY","HOMESTEAD","MIAMI-DADE","33033","MATTHEW ARSENAULT","975 BAPTIST WAY HOMESTEAD, FL 33033","DAVID ABERCROMBIE","AVP, FINANCE","7862438500","7862438557","compass@hfgflorida.com"
"23",100160,"MARINERS HOSPITAL","00100160100120180930201902252020102226","91500 OVERSEAS HWY",,,"TAVERNIER","44","MONROE","FL","33070","rickf@baptisthealth.net",,"10-1313","10121400","MARINERS HOSPITAL","91500 OVERSEAS HWY","TAVERNIER","MONROE","33070","PATRICIA BOYLAN","91500 OVERSEAS HWY TAVERNIER, FL 33070","PATRICIA BOYLAN","AVP, FINANCE","3054343000","3054341583","compass@hfgflorida.com"
"23",100175,"DESOTO MEMORIAL HOSPITAL","00100175100120180930201903032020023955","900 N ROBERT AVE",,,"ARCADIA","14","DESOTO","FL","34266",,,"100175","101923","DESOTO MEMORIAL HOSPITAL","900 NORTH ROBERT AVENUE","ARCADIA","DESOTO","34266","RSM US LLP","201 N HARRISON STREET, DAVENPORT, IA 52801","TERESA CONERLY","CONTROLLER","8634914395","8634918400","TCONERLY@DMH.ORG"
"23",100135,"TALLAHASSEE MEMORIAL HOSPITAL","00100135100120180930201903032020084226","1300 MICCOSUKEE RD",,,"TALLAHASSEE","37","LEON","FL","32308","mark.obryant@tmh.org",,"100135","101133","TALLAHASSEE MEMORIAL HOSPITAL","1300 MICCOSUKEE ROAD","TALLAHASSEE","LEON","32308","WILLIAM GIUDICE","1300 MICCOSUKEE ROAD TALLAHASSEE, FL 32308","WILLIAM GIUDICE","CHIEF FINANCIAL OFFICER","8504315238","8504316498","compass@hfgflorida.com"
"23",100004,"MADISON COUNTY MEMORIAL HOSPITAL","00100004100120180930201911142019090245","224 NW CRANE AVE",,,"MADISON","40","MADISON","FL","32340","tstevens@mcmh.us",,"10-1311","10115-0","MADISON COUNTY MEMORIAL HOSPITAL","224 NW CRANE AVE","MADISON","MADISON","32340","Wilson E. Joiner","P.O. Box 71309; 2617 Gillionville Road; Albany, GA 31708","Patrick McGee","Chief Financial Officer","8502531923",,"bjoiner@draffin-tucker.com"
"23",100017,"HALIFAX HEALTH MEDICAL CENTER","00100017100120180930201903182020032941","303 N CLYDE MORRIS BLVD",,,"DAYTONA BEACH","64","VOLUSIA","FL","32114","Jeff.Feasel@halifax.org",,"10-0017","010184200","HALIFAX HEALTH MEDICAL CENTER","303 N CLYDE MORRIS BLVD","DAYTONA BEACH","VOLUSIA","32114","Kern Dowsett","303 N. Clyde Morris Blvd.","Kern Dowsett","Reimbursement Specialist","3864254567","3862537593","kern.dowsett@halifax.org"
"23",100022,"JACKSON MEMORIAL HOSPITAL","00100022100120180930201903182020104248","1611 NW 12TH AVE",,,"MIAMI","13","MIAMI-DADE","FL","33136","ENasaysayan@jhsmiami.org",,"10-0022","10042100","Jackson Memorial Hospital","1611 NW 12th Avenue","Miami","Miami-Dade","33136","Heydy C. Reyes-Campbell","Jackson Medical Towers, 1500 NW 12th Avenue, Suite 1005, Miami, FL 33136","Ana E. Perez","Director of Budget","3055852975","3055855407","ana.perez1@jhsmiami.org"
"23",100048,"JAY HOSPITAL","00100048100120180930201903042020095437","14114 ALABAMA ST",,,"JAY","57","SANTA ROSA","FL","32565","mike.hutchins@bhcpns.org",,"10-0048","10173-1","JAY HOSPITAL","14114 ALABAMA ST","JAY","SANTA ROSA","32565-0000","Keith Strickling","14114 Alabama St Jay FL  32565","Keith Strickling","Controller","8506758024","8506758173","keith.strickling@bhcpns.org"
"23",100081,"HEALTHMARK REGIONAL MEDICAL CENTER","00100081100120180930201903042020015010","4413 US HWY 331 S",,,"DEFUNIAK SPRINGS","66","WALTON","FL","32435","healthmarkmc@yahoo.com",,"10-0081","10188-5","HEALTHMARK REGIONAL MEDICAL CENTER","4413 US HWY 331 S","DEFUNIAK SPRINGS","WALTON","32435","HAROLD BACHNER CPA","8834 GOODBYS EXECUTIVE DR JACKSONVILLE, FL 32217","DANNY WILKINS","CHIEF FINANCIAL OFFICER","8509514500","8508927079","HBCPA@BELLSOUTH.NET"
"23",100153,"GEORGE E WEEMS MEMORIAL HOSPITAL","00100153100120180930201908052020102914","135 AVE G",,,"APALACHICOLA","19","FRANKLIN","FL","32320","hhuron@weemsmemorial.com",,"101305","10080300","George E. Weems Memorial Hospital","135 Avenue G","Apalachicola","Franklin","32320","William Storck","135 Avenue G, Apalachicola, FL 32320","William Storck","CFO","8506538853","2515108828","bstorck@weemsmemorial.com"
"23",100006,"ORLANDO HEALTH ORLANDO REGIONAL MEDICAL CENTER","00100006100120180930201903112020020556","52 W UNDERWOOD ST",,,"ORLANDO","48","ORANGE","FL","32806","albert.goodmaniii@orlandohealth.com",,"10-0006","10133-8","Orlando Health, Inc.","1414 S. Kuhl Ave. ","ORLANDO","ORANGE","32806","Marianne Thomasson","45 W. Crystal Lake St. ","Tina Wert","Corp Director of Accounting","3218418983","3218436786","marianne.thomasson@orlandohealth.com"
"23",100098,"HENDRY REGIONAL MEDICAL CENTER","00100098100120180930201903182020015137","524 W SAGAMORE AVE",,,"CLEWISTON","26","HENDRY","FL","33440","rwilliams@hrmc.us",,"101309","10086200","Hendry Regional Medical Center","524 Sagamore Avenue","Clewiston","Hendry","33440","V. Phyllis Bouchelle","13933 Ketch Cove Place, Jacksonville, FL 32224","John Beltz","Chief Financial Officer","8639023082",,"jbeltz@hrmc.us"
"23",100020,"DOCTORS HOSPITAL","00100020100120180930201902242020040256","5000 UNIVERSITY DR",,,"CORAL GABLES","13","MIAMI-DADE","FL","33146","NelsonL@baptisthealth.net",,"100296","10354300","DOCTORS HOSPITAL","5000 UNIVERSITY DRIVE","CORAL GABLES","MIAMI-DADE","33146","MATTHEW ARSENAULT","5000 UNIVERSITY DRIVE CORAL GABLES, FL 33146","SUSANA VAZQUEZ-DIAZ","AVP, FINANCE","7863083000","7866627205","compass@hfgflorida.com"
"23",100220,"GULF COAST MEDICAL CENTER LEE MEMORIAL HEALTH SYSTEM","00100220100120180930201902182020033133","13681 DOCTORS WAY",,,"FORT MYERS","36","LEE","FL","33912",,,"100220","011134100","GULF COAST MEDICAL CENTER LEE MEMORIAL HEALTH SYSTEM","13681 DOCTORS WAY","FORT MYERS","LEE","33912","Diana Katich","4211 Metro Pkwy, 3rd floor  Fort Myers, FL 33916","Diana Katich","Senior Reimbursement","2393438345",,"diana.katich@leehealth.org"
"23",100028,"PARRISH MEDICAL CENTER","00100028100120180930201902262020112723","951 N WASHINGTON AVE",,,"TITUSVILLE","5","BREVARD","FL","32796","george.mikitarian@parrishmed.com",,"100028","100102","PARRISH MEDICAL CENTER","951 NORTH WASHINGTON AVENUE","TITUSVILLE","BREVARD","32796","THOMASINA MIDDLETON","951 NORTH WASHINGTON AVENUE TITUSVILLE, FL 32796","THOMASINA MIDDLETON","FINANCIAL PLANNING","3212686111","3212686231","compass@hfgflorida.com"
"23",23960157,"WOLFSON CHILDREN'S HOSPITAL","23960157100120180930201903162020093356","800 PRUDENTIAL DR",,,"JACKSONVILLE","16","DUVAL","FL","32207","missy.poston@bmcjax.com",,"10-0088","10064-1","WOLFSON CHILDREN'S HOSPITAL","800 PRUDENTIAL DR","JACKSONVILLE","DUVAL","32207","Shaw Seely","800 Prudential Drive Jacksonville, FL 32207","Shaw Seely","Director of Reimbursement","9042022878",,"shaw.seely@bmcjax.com"
"23",100157,"LAKELAND REGIONAL MEDICAL CENTER","00100157100120180930201912202019102826","1324 LAKELAND HILLS BLVD",,,"LAKELAND","53","POLK","FL","33805","tim.regan@mylrh.org",,"10-0157","10164-8","LAKELAND REGIONAL MEDICAL CENTER, INC.","1324 LAKELAND HILLS BLVD","LAKELAND","POLK","33805","Lance Green","1324 Lakeland Hills Blvd, Lakeland, FL  33805","Lance Green","SVP/CFO","8636871100","8636871214","lance.green@mylrh.org"
"23",100168,"BOCA RATON REGIONAL HOSPITAL","00100168070120190930201902112020094201","800 MEADOWS RD",,,"BOCA RATON","50","PALM BEACH","FL","33486","smayoz@brrh.com",,"100168","101419","BOCA RATON REGIONAL HOSPITAL","800 MEADOWS ROAD","BOCA RATON","PALM BEACH","33486","MATTHEW ARSENAULT","800 MEADOWS ROAD BOCA RATON, FL 33486","JAMI MAHON","AVP FINANCE","5619557100","5619555169","compass@hfgflorida.com"
"23",100142,"JACKSON HOSPITAL","00100142100120180930201905272020115016","4250 HOSPITAL DR",,,"MARIANNA","32","JACKSON","FL","32446","bjackson@jackhosp.org",,"100142","010106100","Jackson County Hospital District","4250 Hospital Drive","Marianna","FL","32446","Rex Torbett","4250 Hospital Drive","Kevin Rovito","CFO","8507182623","8504826374","krovito@jackhosp.org"
"23",100018,"NAPLES COMMUNITY HOSPITAL","00100018100120180930201902062020124024","350 7TH ST N",,,"NAPLES","11","COLLIER","FL","34102-5754","Paul.Hiltz@nchmd.org",,"100018","100315","Naples Community Hospital","350 7th Street North","Naples","Collier","34102","Lisa Prete-Johnson","Naples Community Hospital, 2157 Pine Ridge Road, Naples, Florida 34109","Noble Arrington","Controller","2396246338","2396246301","noble.arrington@nchmd.org"
"23",103004,"ST CATHERINE'S REHABILITATION HOSPITAL","00103004100120180930201902062020111127","1050 NE 125TH ST",,,"NORTH MIAMI","13","MIAMI-DADE","FL","33161-5805","jgonzalez@chsfla.com",,"103026","120022","ST. CATHERINE'S REHABILITATION HOSPITAL","1050 NE 125 STREET","N MIAMI","MIAMI-DADE","33161","OSVALDO J RIVERA","4790 N. SR-7 LAUDERDALE LAKES FL, 33319","OSVALDO J RIVERA","Asst. CONTROLLER","9544841515","9548093590","ORIVERA@CHSFLA.COM"
"23",100200,"BROWARD HEALTH IMPERIAL POINT","00100200070120180630201912172019022332","6401 N FEDERAL HWY",,,"FORT LAUDERDALE","6","BROWARD","FL","33308","maltamirano@browardhealth.org",,"100200","108219","Broward Health Imperial Point","6401 N FEDERAL HWY","FORT LAUDERDALE","BROWARD","33308","Taylor Warner","1608 SE 3rd Street, Fort Lauderdale, FL  33316","Taylor Warner","Senior Financial Analyst","9548474072","9548474141","twarner@browardhealth.org"
"23",100086,"BROWARD HEALTH NORTH","00100086070120180630201912172019101403","201 E SAMPLE RD",,,"POMPANO BEACH","6","BROWARD","FL","33064","a2taylor@browardhealth.org",,"100086","100218","Broward Health North","201 East Sample Road","Deerfield Beach","Broward","33064","Taylor Warner","1608 SE 3rd Street, Fort Lauderdale, FL  33316","Taylor Warner","Senior Financial Analyst","9548474072","9548474141","twarner@browardhealth.org"
"23",100129,"ASPIRE HEALTH PARTNERS","00100129070120180630201902032020110128","1800 MERCY DR",,,"ORLANDO","48","ORANGE","FL","32808","jodi.hasel@aspirehp.org",,"104067",,"ASPIRE HEALTH PARTNERS, INC","1800 MERCY DRIVE","ORLANDO","ORANGE","32808","MATTHEW LONG","P. O. BOX 2404 PONTE VEDRA BEACH, FL 32004","SCOTT GRIFFITHS","CHIEF FINANCIAL OFFICER","4078753700","4075224671","SCOTT.GRIFFITHS@ASPIREHP.ORG"
"23",110028,"CENTERSTONE OF FLORIDA","00110028070120180630201912162019012305","2020 26TH AVE E",,,"BRADENTON","41","MANATEE","FL","34208",,,"104040",,"CENTERSTONE OF FLORIDA HOSPITAL","2020 26TH AVE E","BRADENTON","MANATEE","34208","SEAN GINGRAS","391 6TH AVENUE WEST BRADENTON, FL 34205","SEAN GINGRAS","CHIEF FINANCIAL OFFICER","9417824299","9417824301","SEAN.GINGRAS@CENTERSTONE.ORG"
"23",100168,"BOCA RATON REGIONAL HOSPITAL","00100168070120180630201910172019091347","800 MEADOWS RD",,,"BOCA RATON","50","PALM BEACH","FL","33486","smayoz@brrh.com",,"100168","101419","BOCA RATON REGIONAL HOSPITAL","800 MEADOWS ROAD","BOCA RATON","PALM BEACH","33486","DAWN P. JAVERSACK","800 MEADOWS ROAD BOCA RATON, FL 33486","DAWN P. JAVERSACK","CHIEF FINANCIAL OFFICER","5619557100","5619554723","djaversack@brrh.com"
"23",23960047,"THE CENTERS INC","23960047070120180630201901092020112009","5664 SW 60TH AVE",,,"OCALA","42","MARION","FL","34474","dbaracskay@thecenters.us",,"104068",,"THE CENTERS","5664 SOUTHWEST 60TH AVENUE","OCALA","MARION","34474","MATTHEW LONG","P. O. BOX 2404  PONTE VEDRA BEACH, FL  32004","RALPH FERA-MCILWAIN","CFO","3522915555","3522915581","Rfmcilwain@thecenters.us"
"23",100137,"ADVENTHEALTH HEART OF FLORIDA","00100137010120190831201902122020024616","40100 HIGHWAY 27",,,"DAVENPORT","53","POLK","FL","33837","carolyn.mccarty@adventhealth.com",,"100137","102288","HEART OF FLORIDA REGIONAL MEDICAL CENTER","40100 US HWY 27N","DAVENPORT","POLK","33837","Adam Bruning","4000 MERIDIAN BLVDFRANKLIN, TN  37067","Justin Hengesbach","ACFO","8634192265","8634192264","adam_bruning@chs.net"
"23",100099,"ADVENTHEALTH LAKE WALES","00100099010120190831201902202020100644","410 S 11TH ST",,,"LAKE WALES","53","POLK","FL","33853","carolyn.mccarty@adventhealth.com",,"100099","101664","LAKE WALES MEDICAL CENTER","410 SOUTH 11TH STREET","LAKE WALES","POLK","33853","Adam Bruning","4000 Meridian Boulevard Franklin, TN 37067","Steven Smith","Chief Financial Officer","8636761433","8636769323","adam_bruning@chs.net"
"23",100154,"SOUTH MIAMI HOSPITAL","00100154100120180930201902242020114237","6200 SW 73RD ST",,,"MIAMI","13","MIAMI-DADE","FL","33143","BillD@Baptisthealth.net",,"10-0154","10058700","SOUTH MIAMI HOSPITAL","6200 SW 73RD STREET","MIAMI","MIAMI-DADE","33143","REYNA M. HERNANDEZ","6200 SW 73RD STREET MIAMI, FL 33143","REYNA M. HERNANDEZ","AVP, FINANCE","7866624000","7865539968","compass@hfgflorida.com"
"23",23960084,"ASCENSION SACRED HEART GULF","23960084070120180630201912162019105244","3801 E HWY 98",,,"PORT SAINT JOE","23","GULF","FL","32456","James.Reilly@ascension.org",,"10-0313","201270-0","SACRED HEART HOSPITAL ON THE GULF","3801 E HWY 98","PORT SAINT JOE","GULF","32456","Julie Noble","3832 Baymeadows Road, Suite 219, Jacksonville FL 32117","Ken McCosh","Senior Director System Finance","9046021161","9042815641","janoble@hsadvisorsllc.com"
"23",23960088,"ASCENSION ST VINCENT'S SOUTHSIDE","23960088070120180630201912022019115154","4201 BELFORT RD",,,"JACKSONVILLE","16","DUVAL","FL","32216","James.Reilly@ascension.org",,"10-0307","10737-0","ST VINCENT'S MEDICAL CENTER SOUTHSIDE","4201 BELFORT RD","JACKSONVILLE","DUVAL","32216","Schelon Seefeld, HSA LLC","3832 Baymeadows Road, Suite 219, Jacksonville FL 32217","Ken McCosh","Vice President System Finance","9046021161",,"sseefeld@hsadvisorsllc.com"
"23",23960117,"ASCENSION ST VINCENT'S CLAY COUNTY","23960117070120180630201911262019053428","1670 ST VINCENTS WAY",,,"MIDDLEBURG","10","CLAY","FL","32068","James.Machado@ascension.org",,"10-0321			","970130-0		","ST VINCENT'S MEDICAL CENTER CLAY COUNTY","1670 ST VINCENTS WAY","MIDDLEBURG","CLAY","32068","Schelon Seefeld, HSA LLC","3832 Baymeadows Road, Suite 219","Ken McCosh","System Vice President Finance","9046021161",,"sseefeld@hsadvisorsllc.com"
"23",104018,"LIFESTREAM BEHAVIORAL CENTER","00104018070120180630201902102020091412","2020 TALLY RD",,,"LEESBURG","35","LAKE","FL","34748","JCherry@lsbc.net",,"104018","773859","Lifestream Behavioral Center, Inc.","515 West Main Street","Leesburg","Lake","34748","Moore Stephens Lovelace, P.A.","500 E Broward Boulevard, Suite 1550, Fort Lauderdale, Florida, 33394","Carol Dozier","Chief Financial Officer","3523157532","3523603595","cdozier@lsbc.net"
"23",100197,"DOUGLAS GARDENS HOSPITAL","00100197070120180630201911272019084246","5200 NE 2ND AVE",,,"MIAMI","13","MIAMI-DADE","FL","33137","jkelleher@mjhha.org",,"100277","10277600","DOUGLAS GARDENS HOSPITAL","5200 NE 2ND AVENUE","Miami","Miami-Dade","33137","BORIS KUSHNIR","500 E. Broward Boulevard, Suite 1550, Fort Lauderdale, Florida, 33394","Robert J. Becht","CHIEF FINANCIAL OFFICER","3057621393","3056758517","RBecht@miamijewishhealth.org"
"23",100026,"ASCENSION SACRED HEART BAY","00100026031420190630201904062020044938","615 N BONITA AVE",,,"PANAMA CITY","3","BAY","FL","32401","James.Reilly@ascension.org",,"100026","10006400","BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM","615 N BONITA AVE","PANAMA CITY","BAY","32401","PAMELA BARKER","615 N BONITA AVE PANAMA CITY, FL 32401","PAMELA BARKER","FINANCIAL ANALYST","8507691511","8507638827","PAMELA.BARKER@ASCENSION.ORG"
